InvoiceNo,InvoiceDate,CustomerID,Country,ProductCategory,Quantity,UnitPrice
8483,12/10/2024,54.0,Germany,Apparel,5.0,100.89
14388,01/07/2024,238.0,canada,beauty ,3.0,30.3
9270,06-Sep-2023,118.0,usa,Apparel,1.0,67.9
18473,2023-08-26,555.0,canada,ELECTRONICS,4.0,467.11
23789,30/04/2024,738.0,U.S.A,Home & Kitchen,5.0,37.67
14659,31-Mar-2024,735.0,U.S.A,apparel,7.0,71.72
22317,2023-10-31,84.0,U.S.A,books,2.0,
16956,22/02/2024,849.0,France,books,2.0,15.77
19648,30-Nov-2023,484.0,germany,sports,,178.5
8475,2023-10-26,747.0,Australia, Books,4.0,8.8
19913,25/02/2024,260.0, USA ,ELECTRONICS,3.0,163.17
17305,17-Sep-2023,417.0,INDIA ,Beauty,3.0,13.1
15793,03/06/2023,562.0,UK,ELECTRONICS,1.0,706.43
12536,23/09/2023,91.0,usa, Books,4.0,31.29
9194,16/06/2023,740.0,Germany,beauty ,1.0,36.57
21601,22/10/2024,1142.0,France,home & kitchen,1.0,66.32
15884,30/03/2024,288.0,france , Electronics,4.0,240.75
20365,2024-06-30,186.0,FRANCE,Beauty,7.0,90.61
14085,27/05/2023,1132.0,France,Beauty,3.0,11.15
11092,17-Nov-2024,451.0,france ,Home & Kitchen,2.0,100.77
12629,2023-04-13,215.0,United Kingdom,Electronics,2.0,249.59
23383,2024-01-25,441.0,United Kingdom,Home and Kitchen ,4.0,137.06
11391,12-Jul-2024,455.0,germany,sports,7.0,295.21
19904,04/24/2023,765.0,FRANCE,Books,,13.63
22737,01-Apr-2023,1020.0,UK, APPAREL,4.0,127.3
14061,2024-02-02,670.0,Canada,Home & Kitchen,1.0,76.85
11416,2023-03-16,606.0,United States, APPAREL,4.0,35.71
16928,09/21/2024,965.0,U.K.,Sports,,217.29
20085,2023-03-09,234.0,UK,beauty ,5.0,31.71
7639,20/06/2024,112.0,canada,beauty ,1.0,32.48
12418,15/01/2023,625.0,france , Books,6.0,37.64
14515,01/01/2023,410.0,canada,beauty ,4.0,42.32
11115,22-Oct-2023,115.0,india, Books,2.0,20.67
12592,2023-03-11,1091.0,Australia,Beauty,5.0,47.73
13230,05/22/2023,352.0,UK,Apparel,3.0,58.35
6705,2024-04-06,823.0,canada,sports,4.0,76.59
24249,10/14/2023,309.0,U.K., Electronics,3.0,400.13
